StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:51:50.282290	1475657510.282290;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:51:50.282391	1475657510.282391;2016-10-05	11:51:51.283552	1475657511.283552;00:00:01;00:00:01;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:51:51.283675	1475657511.283675;2016-10-05	11:51:52.284472	1475657512.284472;00:00:01;00:00:02;10;50;24.9626;50;50;0;0;50;50;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:51:52.284509	1475657512.284509;2016-10-05	11:51:53.285746	1475657513.285746;00:00:01;00:00:03;10;49.9501;33.2889;50;100;0;0;100;100;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:51:53.285787	1475657513.285787;2016-10-05	11:51:54.286588	1475657514.286588;00:00:01;00:00:04;10;50;37.4532;50;150;0;0;150;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:51:54.286625	1475657514.286625;2016-10-05	11:51:55.288496	1475657515.288496;00:00:01;00:00:05;10;49.9501;39.9441;50;200;0;0;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:51:55.288536	1475657515.288536;2016-10-05	11:51:56.290941	1475657516.290941;00:00:01;00:00:06;10;49.9002;41.6043;50;250;0;0;250;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:51:56.290979	1475657516.290979;2016-10-05	11:51:57.293171	1475657517.293171;00:00:01;00:00:07;10;49.9002;42.7899;50;300;0;0;300;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:51:57.293210	1475657517.293210;2016-10-05	11:51:58.294385	1475657518.294385;00:00:01;00:00:08;10;49.9501;43.679;50;350;0;0;350;350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:51:58.294429	1475657518.294429;2016-10-05	11:51:59.295625	1475657519.295625;00:00:01;00:00:09;10;49.9501;44.3754;50;400;0;0;400;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:51:59.295667	1475657519.295667;2016-10-05	11:52:00.296972	1475657520.296972;00:00:01;00:00:10;10;49.9501;44.9326;50;450;0;0;450;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:00.297012	1475657520.297012;2016-10-05	11:52:01.297853	1475657521.297853;00:00:01;00:00:11;10;50;45.3885;50;500;0;0;500;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:01.297892	1475657521.297892;2016-10-05	11:52:02.299272	1475657522.299272;00:00:01;00:00:12;10;49.9501;45.7647;50;550;0;0;550;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:02.299328	1475657522.299328;2016-10-05	11:52:03.301472	1475657523.301472;00:00:01;00:00:13;10;50.8982;46.1598;51;601;0;0;601;601;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:03.301509	1475657523.301509;2016-10-05	11:52:04.302658	1475657524.302658;00:00:01;00:00:14;10;49.9501;46.4304;50;651;0;0;651;651;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:04.302697	1475657524.302697;2016-10-05	11:52:05.304929	1475657525.304929;00:00:01;00:00:15;10;49.9002;46.6618;50;701;0;0;701;701;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:05.305004	1475657525.305004;2016-10-05	11:52:06.306555	1475657526.306555;00:00:01;00:00:16;10;49.9501;46.8643;50;751;0;0;751;751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:06.306593	1475657526.306593;2016-10-05	11:52:07.307377	1475657527.307377;00:00:01;00:00:17;10;50;47.0457;50;801;0;0;801;801;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:07.307424	1475657527.307424;2016-10-05	11:52:08.308657	1475657528.308657;00:00:01;00:00:18;10;49.9501;47.207;50;851;0;0;851;851;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:08.308695	1475657528.308695;2016-10-05	11:52:09.309718	1475657529.309718;00:00:01;00:00:19;10;49.9501;47.3513;50;901;0;0;901;901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:09.309766	1475657529.309766;2016-10-05	11:52:10.310216	1475657530.310216;00:00:01;00:00:20;10;50;47.4812;50;951;0;0;951;951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:10.310282	1475657530.310282;2016-10-05	11:52:11.313119	1475657531.313119;00:00:01;00:00:21;10;49.9002;47.5964;50;1001;0;0;1001;1001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:11.313161	1475657531.313161;2016-10-05	11:52:12.313837	1475657532.313837;00:00:01;00:00:22;10;50;47.7033;50;1051;0;0;1051;1051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:12.313877	1475657532.313877;2016-10-05	11:52:13.314474	1475657533.314474;00:00:01;00:00:23;10;50;47.801;50;1101;0;0;1101;1101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:13.314516	1475657533.314516;2016-10-05	11:52:14.315341	1475657534.315341;00:00:01;00:00:24;10;50;47.8905;50;1151;0;0;1151;1151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	11:51:50.281201	1475657510.281201;2016-10-05	11:52:14.315394	1475657534.315394;2016-10-05	11:52:15.318101	1475657535.318101;00:00:01;00:00:25;10;49.9002;47.9709;50;1201;0;0;1201;1201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
