StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:45.279956	1475658465.279956;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:45.280101	1475658465.280101;2016-10-05	12:07:46.281234	1475658466.281234;00:00:01;00:00:01;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:46.281373	1475658466.281373;2016-10-05	12:07:47.281837	1475658467.281837;00:00:01;00:00:02;10;49;24.4511;49;49;0;0;49;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:47.281874	1475658467.281874;2016-10-05	12:07:48.283645	1475658468.283645;00:00:01;00:00:03;10;49.9501;32.9451;50;99;0;0;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:48.283682	1475658468.283682;2016-10-05	12:07:49.284665	1475658469.284665;00:00:01;00:00:04;10;51;37.4345;51;150;0;0;150;150;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:49.284702	1475658469.284702;2016-10-05	12:07:50.284854	1475658470.284854;00:00:01;00:00:05;10;50;39.9441;50;200;0;0;200;200;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:50.284890	1475658470.284890;2016-10-05	12:07:51.286068	1475658471.286068;00:00:01;00:00:06;10;49.9501;41.6112;50;250;0;0;250;250;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:51.286123	1475658471.286123;2016-10-05	12:07:52.287890	1475658472.287890;00:00:01;00:00:07;10;49.9501;42.796;50;300;0;0;300;300;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:52.287941	1475658472.287941;2016-10-05	12:07:53.290173	1475658473.290173;00:00:01;00:00:08;10;49.9002;43.6845;50;350;0;0;350;350;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:53.290211	1475658473.290211;2016-10-05	12:07:54.290787	1475658474.290787;00:00:01;00:00:09;10;50;44.3803;50;400;0;0;400;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:54.290831	1475658474.290831;2016-10-05	12:07:55.292658	1475658475.292658;00:00:01;00:00:10;10;49.9501;44.9371;50;450;0;0;450;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:55.292692	1475658475.292692;2016-10-05	12:07:56.293333	1475658476.293333;00:00:01;00:00:11;10;50;45.3926;50;500;0;0;500;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:56.293372	1475658476.293372;2016-10-05	12:07:57.295136	1475658477.295136;00:00:01;00:00:12;10;49.9501;45.7685;50;550;0;0;550;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:57.295173	1475658477.295173;2016-10-05	12:07:58.296341	1475658478.296341;00:00:01;00:00:13;10;49.9501;46.09;50;600;0;0;600;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:58.296386	1475658478.296386;2016-10-05	12:07:59.297987	1475658479.297987;00:00:01;00:00:14;10;49.9501;46.3623;50;650;0;0;650;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:07:59.298022	1475658479.298022;2016-10-05	12:08:00.298948	1475658480.298948;00:00:01;00:00:15;10;50;46.6014;50;700;0;0;700;700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:00.299003	1475658480.299003;2016-10-05	12:08:01.301460	1475658481.301460;00:00:01;00:00:16;10;49.9002;46.8077;50;750;0;0;750;750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:01.301521	1475658481.301521;2016-10-05	12:08:02.303556	1475658482.303556;00:00:01;00:00:17;10;49.9002;46.9897;50;800;0;0;800;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:02.303594	1475658482.303594;2016-10-05	12:08:03.304430	1475658483.304430;00:00:01;00:00:18;10;50;47.1541;50;850;0;0;850;850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:03.304465	1475658483.304465;2016-10-05	12:08:04.306197	1475658484.306197;00:00:01;00:00:19;10;50.9491;47.3513;51;901;0;0;901;901;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:04.306232	1475658484.306232;2016-10-05	12:08:05.307465	1475658485.307465;00:00:01;00:00:20;10;49.9501;47.4812;50;951;0;0;951;951;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:05.307503	1475658485.307503;2016-10-05	12:08:06.309504	1475658486.309504;00:00:01;00:00:21;10;49.9002;47.5964;50;1001;0;0;1001;1001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:06.309542	1475658486.309542;2016-10-05	12:08:07.311677	1475658487.311677;00:00:01;00:00:22;10;49.9002;47.699;50;1051;0;0;1051;1051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:07.311711	1475658487.311711;2016-10-05	12:08:08.313475	1475658488.313475;00:00:01;00:00:23;10;49.9501;47.7968;50;1101;0;0;1101;1101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:08.313523	1475658488.313523;2016-10-05	12:08:09.314992	1475658489.314992;00:00:01;00:00:24;10;49.9501;47.8845;50;1151;0;0;1151;1151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:09.315050	1475658489.315050;2016-10-05	12:08:10.316155	1475658490.316155;00:00:01;00:00:25;10;49.9501;47.9671;50;1201;0;0;1201;1201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:10.316192	1475658490.316192;2016-10-05	12:08:11.317805	1475658491.317805;00:00:01;00:00:26;10;49.9501;48.0415;50;1251;0;0;1251;1251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:11.317853	1475658491.317853;2016-10-05	12:08:12.320591	1475658492.320591;00:00:01;00:00:27;10;49.9002;48.1103;50;1301;0;0;1301;1301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:12.320625	1475658492.320625;2016-10-05	12:08:13.321985	1475658493.321985;00:00:01;00:00:28;10;49.9501;48.1743;50;1351;0;0;1351;1351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:07:45.277660	1475658465.277660;2016-10-05	12:08:13.322020	1475658493.322020;2016-10-05	12:08:13.969336	1475658493.969336;00:00:00;00:00:28;10;51.0046;48.2381;33;1384;0;0;1384;1384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
