StartTime;LastResetTime;CurrentTime;ElapsedTime(P);ElapsedTime(C);TargetRate;CallRate(P);CallRate(C);IncomingCall(P);IncomingCall(C);OutgoingCall(P);OutgoingCall(C);TotalCallCreated;CurrentCall;SuccessfulCall(P);SuccessfulCall(C);FailedCall(P);FailedCall(C);FailedCannotSendMessage(P);FailedCannotSendMessage(C);FailedMaxUDPRetrans(P);FailedMaxUDPRetrans(C);FailedTcpConnect(P);FailedTcpConnect(C);FailedTcpClosed(P);FailedTcpClosed(C);FailedUnexpectedMessage(P);FailedUnexpectedMessage(C);FailedCallRejected(P);FailedCallRejected(C);FailedCmdNotSent(P);FailedCmdNotSent(C);FailedRegexpDoesntMatch(P);FailedRegexpDoesntMatch(C);FailedRegexpShouldntMatch(P);FailedRegexpShouldntMatch(C);FailedRegexpHdrNotFound(P);FailedRegexpHdrNotFound(C);FailedOutboundCongestion(P);FailedOutboundCongestion(C);FailedTimeoutOnRecv(P);FailedTimeoutOnRecv(C);FailedTimeoutOnSend(P);FailedTimeoutOnSend(C);OutOfCallMsgs(P);OutOfCallMsgs(C);DeadCallMsgs(P);DeadCallMsgs(C);Retransmissions(P);Retransmissions(C);AutoAnswered(P);AutoAnswered(C);Warnings(P);Warnings(C);FatalErrors(P);FatalErrors(C);WatchdogMajor(P);WatchdogMajor(C);WatchdogMinor(P);WatchdogMinor(C);CallLength(P);CallLength(C);CallLengthStDev(P);CallLengthStDev(C);
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:38:57.102724	1475660337.102724;00:00:00;00:00:00;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:38:57.102981	1475660337.102981;2016-10-05	12:38:58.104182	1475660338.104182;00:00:01;00:00:01;10;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:38:58.104245	1475660338.104245;2016-10-05	12:38:59.105144	1475660339.105144;00:00:01;00:00:02;10;49;24.4633;49;49;0;0;49;49;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:38:59.105194	1475660339.105194;2016-10-05	12:39:00.106236	1475660340.106236;00:00:01;00:00:03;10;49.9501;32.9561;50;99;0;0;99;99;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:00.106287	1475660340.106287;2016-10-05	12:39:01.107122	1475660341.107122;00:00:01;00:00:04;10;50;37.2035;50;149;0;0;149;149;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:01.107190	1475660341.107190;2016-10-05	12:39:02.108697	1475660342.108697;00:00:01;00:00:05;10;49.9501;39.7523;50;199;0;0;199;199;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:02.108749	1475660342.108749;2016-10-05	12:39:03.111229	1475660343.111229;00:00:01;00:00:06;10;49.9002;41.4378;50;249;0;0;249;249;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:03.111281	1475660343.111281;2016-10-05	12:39:04.112460	1475660344.112460;00:00:01;00:00:07;10;49.9501;42.6534;50;299;0;0;299;299;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:04.112512	1475660344.112512;2016-10-05	12:39:05.112651	1475660345.112651;00:00:01;00:00:08;10;50;43.5705;50;349;0;0;349;349;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:05.112712	1475660345.112712;2016-10-05	12:39:06.114282	1475660346.114282;00:00:01;00:00:09;10;50.9491;44.3853;51;400;0;0;400;400;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:06.114333	1475660346.114333;2016-10-05	12:39:07.116295	1475660347.116295;00:00:01;00:00:10;10;49.9501;44.9371;50;450;0;0;450;450;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:07.116346	1475660347.116346;2016-10-05	12:39:08.118552	1475660348.118552;00:00:01;00:00:11;10;49.9002;45.3885;50;500;0;0;500;500;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:08.118604	1475660348.118604;2016-10-05	12:39:09.119681	1475660349.119681;00:00:01;00:00:12;10;49.9501;45.7685;50;550;0;0;550;550;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:09.119726	1475660349.119726;2016-10-05	12:39:10.120704	1475660350.120704;00:00:01;00:00:13;10;50;46.09;50;600;0;0;600;600;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:10.120754	1475660350.120754;2016-10-05	12:39:11.122262	1475660351.122262;00:00:01;00:00:14;10;49.9501;46.3623;50;650;0;0;650;650;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:11.122357	1475660351.122357;2016-10-05	12:39:12.124621	1475660352.124621;00:00:01;00:00:15;10;49.9002;46.5983;50;700;0;0;700;700;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:12.124711	1475660352.124711;2016-10-05	12:39:13.125505	1475660353.125505;00:00:01;00:00:16;10;50;46.8077;50;750;0;0;750;750;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:13.125550	1475660353.125550;2016-10-05	12:39:14.126434	1475660354.126434;00:00:01;00:00:17;10;50;46.9925;50;800;0;0;800;800;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:14.126485	1475660354.126485;2016-10-05	12:39:15.128630	1475660355.128630;00:00:01;00:00:18;10;49.9002;47.1541;50;850;0;0;850;850;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:15.128679	1475660355.128679;2016-10-05	12:39:16.129856	1475660356.129856;00:00:01;00:00:19;10;49.9501;47.3012;50;900;0;0;900;900;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:16.129902	1475660356.129902;2016-10-05	12:39:17.130919	1475660357.130919;00:00:01;00:00:20;10;49.9501;47.4336;50;950;0;0;950;950;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:17.130971	1475660357.130971;2016-10-05	12:39:18.132115	1475660358.132115;00:00:01;00:00:21;10;50.9491;47.5987;51;1001;0;0;1001;1001;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:18.132318	1475660358.132318;2016-10-05	12:39:19.134195	1475660359.134195;00:00:01;00:00:22;10;49.9501;47.7033;50;1051;0;0;1051;1051;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:19.134248	1475660359.134248;2016-10-05	12:39:20.135337	1475660360.135337;00:00:01;00:00:23;10;49.9501;47.801;50;1101;0;0;1101;1101;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:20.135399	1475660360.135399;2016-10-05	12:39:21.136232	1475660361.136232;00:00:01;00:00:24;10;50;47.8905;50;1151;0;0;1151;1151;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:21.136283	1475660361.136283;2016-10-05	12:39:22.136921	1475660362.136921;00:00:01;00:00:25;10;50;47.9748;50;1201;0;0;1201;1201;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:22.136983	1475660362.136983;2016-10-05	12:39:23.138759	1475660363.138759;00:00:01;00:00:26;10;49.9501;48.0489;50;1251;0;0;1251;1251;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:23.138880	1475660363.138880;2016-10-05	12:39:24.139775	1475660364.139775;00:00:01;00:00:27;10;50;48.1192;50;1301;0;0;1301;1301;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
2016-10-05	12:38:57.102044	1475660337.102044;2016-10-05	12:39:24.139833	1475660364.139833;2016-10-05	12:39:25.141475	1475660365.141475;00:00:01;00:00:28;10;49.9501;48.1829;50;1351;0;0;1351;1351;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;00:00:00:000000;00:00:00:000000;00:00:00:000000;00:00:00:000000;
